TIME	nx1r	ny1r	nz1r	mx1r	my1r	mz1r	nx2r	ny2r	nz2r	mx2r	my2r	mz2r
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	-5.030752e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.611917e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	-6.293142e-11	0.000000e+00	1.378122e+01	0.000000e+00	-3.730349e-17	0.000000e+00	-6.282688e-11	0.000000e+00	1.436529e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	-1.026985e-12	0.000000e+00	1.379128e+01	0.000000e+00	-6.521274e-14	0.000000e+00	-2.807224e-13	0.000000e+00	1.436457e+01	0.000000e+00	-1.760193e-14	0.000000e+00
4.000000e+00	-1.026985e-12	-1.473973e+01	1.379128e+01	0.000000e+00	-6.521274e-14	0.000000e+00	-2.807224e-13	-1.432143e+01	1.436457e+01	0.000000e+00	-1.760193e-14	0.000000e+00
4.050000e+00	-1.176618e-12	-4.723320e-01	1.728782e+01	2.182896e-02	-6.731075e-14	-1.257547e-16	-2.547545e-13	-1.042645e-01	1.788465e+01	9.681642e-04	-1.535099e-14	2.700352e-16
4.100000e+00	-1.716535e-12	-2.033941e-01	2.882244e+01	1.292341e-02	-7.520180e-14	9.801310e-17	-1.562322e-13	-4.172292e-02	2.941591e+01	3.895234e-03	-7.886224e-15	-2.480921e-16
4.150000e+00	-1.964034e-12	-3.088593e-01	3.078743e+01	8.270278e-03	-8.139270e-14	1.265156e-17	-1.583779e-13	4.264521e-03	3.125765e+01	-2.342129e-03	-5.206970e-15	6.446388e-17
4.200000e+00	-4.368026e-13	1.335883e-01	-1.383846e+00	-2.463033e-03	-6.225243e-14	2.400316e-17	-4.167761e-13	-2.396715e-02	-8.632360e-01	1.180749e-03	-3.074483e-14	-2.189218e-16
4.250000e+00	1.836042e-12	-2.902301e-01	-2.323143e+01	-1.259938e-03	4.253387e-14	-5.427563e-17	1.506970e-12	-3.278427e-02	-2.243922e+01	-1.291168e-02	-8.276802e-14	7.455400e-17
4.300000e+00	2.219963e-12	6.320264e-02	1.391659e+01	-1.151941e-02	4.566459e-14	-2.282886e-16	1.033023e-12	-5.195448e-02	1.452440e+01	-1.165951e-02	-7.335409e-14	-2.565202e-16
4.350000e+00	-3.677378e-12	1.134709e+00	4.968145e+01	-3.592134e-02	-1.088116e-13	-5.496956e-16	-8.327655e-14	7.770841e-03	5.005033e+01	4.992610e-03	2.444952e-14	5.758909e-16
4.400000e+00	-3.319515e-12	7.657837e-01	3.292854e+01	-2.668672e-02	-1.210513e-13	-3.465218e-16	-2.473365e-13	6.218097e-02	3.351748e+01	2.486427e-03	6.732987e-15	9.741243e-17
4.450000e+00	7.482142e-13	-2.519658e-01	1.603302e+00	7.624237e-03	-2.574650e-14	2.361953e-16	1.165670e-13	-9.407667e-02	2.208197e+00	-4.595161e-03	-5.757918e-14	3.916227e-16
4.500000e+00	7.017204e-13	-6.787040e-02	-1.173964e+01	2.736044e-02	2.610216e-14	2.718693e-16	1.004896e-12	-3.683639e-01	-1.111294e+01	1.058993e-02	-3.737496e-14	1.363457e-16
4.550000e+00	1.506686e-12	-4.218660e-01	2.524577e+00	4.003940e-02	4.298714e-14	-8.378155e-17	8.892477e-13	-2.953334e-01	3.181135e+00	1.423353e-02	-4.505102e-14	1.551790e-16
4.600000e+00	-9.018529e-13	-1.079319e+00	2.564771e+01	4.696357e-02	-4.956456e-14	-2.852637e-16	-8.437651e-15	-1.752260e-01	2.614469e+01	1.161261e-03	-1.699889e-14	-1.162069e-15
4.650000e+00	-3.657469e-12	-7.796157e-01	3.124934e+01	2.995607e-02	-1.318467e-13	8.614498e-16	-5.262032e-13	-5.747761e-02	3.183430e+01	4.589852e-04	1.864362e-14	-8.771168e-16
4.700000e+00	-1.544460e-12	-4.259410e-02	2.655424e+01	5.003920e-03	-7.313325e-14	2.396177e-16	-1.343000e-13	-1.019433e-02	2.711724e+01	2.575668e-03	-1.285830e-14	-2.278993e-16
4.750000e+00	2.461584e-13	1.296720e-01	1.048126e+01	-1.138309e-02	-1.699544e-14	-7.065193e-17	1.690994e-13	7.952646e-02	1.099767e+01	-3.203143e-03	-3.213082e-14	-2.296941e-16
4.800000e+00	2.968693e-14	7.579350e-02	-8.840265e+00	-2.095774e-02	-2.330522e-14	6.367128e-16	-4.180950e-14	1.681442e-01	-8.181838e+00	-1.244405e-02	-2.292297e-14	7.392299e-16
4.850000e+00	1.565525e-13	5.197016e-02	-2.906895e+00	-2.871808e-02	-1.759357e-14	7.246035e-16	-6.676901e-15	1.960031e-01	-2.272445e+00	-1.902919e-02	-2.293881e-14	6.700379e-16
4.900000e+00	-4.378739e-13	9.705587e-01	2.404107e+01	-4.440683e-02	-3.045551e-14	2.822735e-16	8.522845e-14	1.382398e-01	2.461191e+01	-4.929065e-03	-1.798715e-14	2.423982e-16
4.950000e+00	-2.462855e-12	1.209081e+00	4.121953e+01	-4.051149e-02	-8.850468e-14	-6.884117e-16	-7.509634e-14	5.849314e-02	4.174102e+01	5.187013e-03	1.951423e-15	2.995203e-17
5.000000e+00	-2.676892e-12	7.803702e-02	2.736489e+01	-4.535315e-03	-1.087137e-13	-1.230358e-15	-3.447833e-13	-7.871042e-03	2.786491e+01	-2.577345e-03	-1.613241e-17	8.476824e-17
5.050000e+00	-1.158633e-13	-3.223760e-01	-1.815879e+00	2.458546e-02	-5.446238e-14	-5.076538e-16	-3.093369e-13	-2.445682e-01	-1.175016e+00	4.204473e-03	-3.860808e-14	-5.157741e-17
5.100000e+00	1.123251e-12	1.425169e-01	-1.148646e+01	3.422886e-02	2.066288e-14	3.446158e-17	8.450533e-13	-3.224530e-01	-1.084563e+01	2.699217e-02	-5.259621e-14	1.306689e-16
5.150000e+00	1.175092e-12	-6.417469e-01	7.088433e+00	5.472313e-02	2.762748e-14	-1.197692e-16	7.118094e-13	-3.248574e-01	7.713171e+00	1.991043e-02	-4.144775e-14	-3.790145e-17
5.200000e+00	-1.603302e-12	-1.692351e+00	3.099546e+01	6.408952e-02	-6.771245e-14	4.324045e-16	-1.290803e-13	-2.018898e-01	3.154666e+01	-4.524777e-03	-5.708867e-15	-1.041963e-15
5.250000e+00	-3.590607e-12	-6.433044e-01	3.642524e+01	2.332778e-02	-1.257318e-13	1.642694e-15	-2.906932e-13	-2.602139e-02	3.696317e+01	-3.300911e-05	1.319724e-14	-6.581546e-16
5.300000e+00	-1.326615e-12	5.465777e-01	2.060400e+01	-1.910109e-02	-7.373744e-14	6.840663e-16	-2.210404e-13	1.390434e-01	2.113733e+01	5.229626e-03	-1.790218e-14	-6.256605e-16
5.350000e+00	4.163942e-13	1.587057e-01	-2.047401e+00	-2.501477e-02	-1.130724e-14	9.850134e-17	2.140896e-13	2.280781e-01	-1.418339e+00	-1.019013e-02	-3.441309e-14	-1.541802e-16
5.400000e+00	6.614782e-13	-1.083174e-01	-8.458332e+00	-2.046037e-02	2.399978e-14	5.974693e-16	6.420239e-13	9.289113e-02	-7.840938e+00	-2.159623e-02	-2.440608e-14	5.551772e-16
5.450000e+00	8.405536e-13	3.493522e-01	8.868707e+00	-3.289268e-02	2.587048e-14	7.604320e-16	4.949808e-13	1.555584e-01	9.489703e+00	-1.390780e-02	-2.287507e-14	6.966021e-16
5.500000e+00	-1.059087e-12	1.203510e+00	3.254942e+01	-4.393972e-02	-4.824271e-14	3.670409e-17	-2.491653e-14	1.180861e-01	3.308190e+01	2.929690e-03	-9.616290e-15	7.495549e-16
5.550000e+00	-3.438770e-12	5.565592e-01	3.731607e+01	-2.045808e-02	-1.212246e-13	-1.214546e-15	-2.501441e-13	3.432025e-02	3.784398e+01	1.193636e-03	1.072747e-14	2.522140e-16
5.600000e+00	-1.757183e-12	-3.219267e-01	1.692496e+01	1.250077e-02	-9.445036e-14	-8.386103e-16	-4.181564e-13	-1.098507e-01	1.745612e+01	-3.762094e-03	-1.558421e-14	1.805749e-16
5.650000e+00	6.747362e-13	-1.315763e-01	-7.162831e+00	2.202189e-02	-1.545284e-14	-4.890192e-16	2.256779e-13	-2.353442e-01	-6.507290e+00	8.965421e-03	-4.865794e-14	-2.675163e-16
5.700000e+00	1.185245e-12	6.489452e-02	-7.628416e+00	2.421873e-02	4.189151e-14	-6.948315e-16	1.067466e-12	-1.828981e-01	-7.008794e+00	1.931911e-02	-4.177350e-14	-5.299263e-16
5.750000e+00	8.228529e-13	-6.524009e-01	1.494539e+01	3.726970e-02	1.587224e-14	-4.327147e-16	4.612216e-13	-1.899645e-01	1.554721e+01	7.170583e-03	-3.085971e-14	-6.273337e-16
5.800000e+00	-2.489399e-12	-9.677049e-01	3.607574e+01	3.382288e-02	-9.374837e-14	8.006212e-16	-1.802205e-13	-7.646226e-02	3.659241e+01	-4.082291e-03	1.532993e-15	-3.551049e-16
5.850000e+00	-3.706647e-12	-9.019870e-02	3.384855e+01	5.076587e-03	-1.343071e-13	1.371348e-15	-3.476067e-13	1.682052e-02	3.437348e+01	3.024707e-03	1.114662e-14	-1.539921e-16
5.900000e+00	-6.416251e-13	2.463553e-01	1.095006e+01	-1.031403e-02	-6.028871e-14	5.551241e-16	-2.222271e-13	9.737719e-02	1.151619e+01	1.708163e-03	-2.895894e-14	9.673723e-17
5.950000e+00	8.104277e-13	-7.628672e-02	-8.574552e+00	-7.642345e-03	2.017862e-14	4.738997e-16	6.545612e-13	5.397338e-02	-7.934675e+00	-7.932973e-03	-3.398907e-14	3.894292e-16
6.000000e+00	1.205033e-12	-2.038094e-02	-4.279021e+00	-9.047694e-03	6.890132e-14	3.398751e-16	1.176314e-12	2.028711e-02	-3.663623e+00	-9.606558e-03	-1.928379e-14	3.659461e-16
6.050000e+00	1.184851e-12	3.433798e-01	1.904056e+01	-1.913115e-02	3.627363e-14	6.915105e-18	4.831970e-13	8.093645e-02	1.962042e+01	-3.205449e-03	-2.421969e-14	1.180792e-16
6.100000e+00	-2.431935e-12	6.178468e-01	3.729861e+01	-2.071824e-02	-9.068275e-14	-8.354886e-16	-1.621066e-13	4.018216e-02	3.781009e+01	2.254263e-03	1.819472e-15	-4.286114e-17
6.150000e+00	-3.916143e-12	1.303340e-01	3.098031e+01	-6.794175e-03	-1.458154e-13	-8.696060e-16	-4.788941e-13	5.100237e-03	3.150752e+01	-1.402090e-03	1.225453e-14	1.255406e-17
6.200000e+00	-4.956986e-13	-9.301301e-02	6.352127e+00	4.129513e-03	-6.290583e-14	-1.694837e-16	-2.657192e-13	-5.980983e-02	6.931521e+00	-2.021514e-03	-3.518202e-14	6.961847e-17
6.250000e+00	1.196882e-12	-2.943271e-02	-1.036348e+01	6.192075e-03	3.950006e-14	-1.445568e-16	1.044166e-12	-8.497442e-02	-9.719833e+00	2.485214e-03	-4.361114e-14	-9.089761e-17
