TIME	X	Y	Z	ROTX	ROTY	ROTZ	FX	FY	FZ	MX	MY	MZ	FXROT	FYROT	FZROT	MXROT	MYROT	MZROT	dX	dY	dZ	dROTX	dROTY	dROTZ	ddX	ddY	ddZ	ddROTX	ddROTY	ddROTZ
0.000000e+00	1.276000e+00	0.000000e+00	-3.552000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.276000e+00	0.000000e+00	-3.552000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.309841e-01	0.000000e+00	-1.351018e-21	0.000000e+00	0.000000e+00	0.000000e+00	3.309841e-01	0.000000e+00	-1.351018e-21	0.000000e+00	0.000000e+00	0.000000e+00	-4.965299e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.965299e-07	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	0.000000e+00	0.000000e+00	-2.256280e+00	0.000000e+00	-1.570796e+00	0.000000e+00	-2.308009e-12	0.000000e+00	-3.453856e-09	0.000000e+00	-2.557927e-12	0.000000e+00	-3.453856e-09	0.000000e+00	2.308009e-12	0.000000e+00	-2.557927e-12	0.000000e+00	-1.276000e+00	0.000000e+00	1.295721e+00	0.000000e+00	-2.000000e+00	0.000000e+00	-1.276000e+00	0.000000e+00	1.295721e+00	0.000000e+00	-2.000000e+00	0.000000e+00
3.000000e+00	-3.651745e-16	0.000000e+00	-2.256279e+00	0.000000e+00	-1.570796e+00	0.000000e+00	-1.226836e-26	0.000000e+00	2.415845e-13	0.000000e+00	-1.752750e-28	0.000000e+00	2.415845e-13	0.000000e+00	1.323393e-26	0.000000e+00	-1.752750e-28	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	-3.651745e-16	1.224647e-18	-2.256279e+00	0.000000e+00	-1.570796e+00	0.000000e+00	-1.226836e-26	2.664535e-14	2.415845e-13	-6.210310e-01	-1.752750e-28	2.312740e-15	2.415845e-13	2.664535e-14	1.323393e-26	-1.693987e-16	-1.752750e-28	6.210310e-01	0.000000e+00	1.224647e-18	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.224647e-18	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.050000e+00	-3.521503e-16	-1.541306e-04	-2.251359e+00	1.822268e-02	-1.570720e+00	-1.822268e-02	1.483246e-21	-3.150813e-13	1.513456e-12	3.266592e-13	6.513486e-21	-4.020770e-22	1.520359e-12	-2.798845e-13	-1.483240e-21	-5.530793e-22	6.502405e-21	-3.266592e-13	5.209667e-16	-6.165222e-03	1.968233e-01	9.281187e-01	-2.837203e-16	-1.980199e-14	1.736556e-14	-2.055074e-01	6.560778e+00	3.093729e+01	-9.457343e-15	-6.600664e-13
4.100000e+00	-3.398466e-16	-4.304093e-04	-2.239747e+00	1.329058e-02	-1.570755e+00	-1.329058e-02	-4.543839e-28	8.881784e-16	4.263256e-14	3.317691e-17	7.638087e-30	5.700385e-32	4.261143e-14	1.609451e-15	6.355121e-28	6.771750e-32	7.687507e-30	-3.317691e-17	-2.881779e-17	-4.885927e-03	2.676512e-01	-1.179311e+00	-7.555165e-16	-2.023929e-14	-2.990319e-14	1.796481e-01	-2.012923e+00	-9.087253e+01	4.902375e-14	4.224894e-13
4.150000e+00	-4.289451e-16	-3.696538e-04	-2.244673e+00	4.710889e-03	-1.570791e+00	-4.710889e-03	1.199069e-27	-6.661338e-16	8.881784e-14	-7.459533e-17	-1.989265e-29	1.827140e-31	8.882024e-14	-1.333875e-16	-8.649646e-28	2.044861e-32	-2.002300e-29	7.459533e-17	-3.535123e-15	7.316148e-03	-4.646826e-01	7.423455e-01	-5.848582e-15	9.407580e-15	-9.694140e-14	2.869704e-01	-2.306918e+01	1.246369e+02	-2.255781e-13	7.230136e-13
4.200000e+00	-6.382252e-16	2.272832e-04	-2.273939e+00	-5.303016e-03	-1.570790e+00	5.303016e-03	-1.956375e-28	1.568190e-15	1.261213e-13	3.437061e-17	-3.262740e-29	1.530085e-31	1.261290e-13	7.165880e-16	6.174109e-28	4.718328e-32	-3.259109e-29	-3.437061e-17	-4.836080e-15	1.656133e-02	-7.059713e-01	-1.252357e+00	-1.024252e-14	1.834053e-14	2.126239e-14	1.168591e-01	7.336492e+00	-1.495813e+02	-8.228242e-14	-2.297420e-13
4.250000e+00	-9.304429e-16	1.470223e-03	-2.283965e+00	-1.392271e-02	-1.570751e+00	1.392271e-02	-6.468659e-28	3.330669e-16	-4.725109e-13	5.681390e-17	-1.969487e-29	4.668681e-31	-4.724308e-13	8.708770e-15	-1.924000e-28	2.186042e-31	-1.968783e-29	-5.681390e-17	-6.852630e-15	3.315625e-02	3.049277e-01	8.133532e-01	-5.364880e-14	1.832869e-14	-8.139329e-14	4.752580e-01	2.880564e+01	1.685779e+02	-1.272892e-12	3.768991e-13
