TIME	nx1r	ny1r	nz1r	mx1r	my1r	mz1r	nx2r	ny2r	nz2r	mx2r	my2r	mz2r
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	-3.611917e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.030752e-03	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	-6.071262e-11	0.000000e+00	3.265666e+01	0.000000e+00	4.973799e-17	0.000000e+00	-6.806668e-11	0.000000e+00	3.324072e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	-1.250779e-13	0.000000e+00	3.265738e+01	0.000000e+00	5.025245e-15	0.000000e+00	-2.002791e-12	0.000000e+00	3.323066e+01	0.000000e+00	8.123686e-14	0.000000e+00
4.000000e+00	-1.262016e-12	-1.675161e+01	3.253485e+01	-2.194237e-03	6.038538e-15	5.261587e-16	2.215680e-12	-5.664428e+00	3.353093e+01	3.056025e-02	6.712421e-14	-5.601863e-15
4.050000e+00	3.356769e-15	-1.247193e-02	6.067172e+01	-4.686177e-07	3.551274e-15	-1.191757e-17	5.133836e-14	4.990340e-03	6.369246e+01	-2.110787e-04	1.592714e-15	-2.894517e-17
4.100000e+00	8.565629e-14	1.735060e-02	1.567843e+01	1.096598e-03	-1.551147e-14	4.799789e-17	-2.649486e-13	-2.154448e-02	9.893284e+00	7.788492e-04	-8.904203e-15	2.558786e-17
4.150000e+00	-1.150707e-13	-1.662482e-02	2.185152e+01	1.079009e-03	2.372922e-15	-5.413784e-17	8.889397e-14	-1.198440e-02	2.834689e+01	2.762499e-04	3.393328e-15	-3.391258e-17
4.200000e+00	7.452762e-14	-7.310056e-03	3.125490e+01	-1.127560e-03	2.332291e-15	4.913534e-17	-7.349673e-16	2.475588e-02	2.660976e+01	-7.830646e-04	-4.117073e-16	3.455344e-17
4.250000e+00	-5.957897e-14	1.753055e-02	5.260238e+01	6.410799e-04	-1.506416e-15	-5.987614e-17	6.058138e-15	-2.377433e-02	6.065574e+01	7.639159e-04	4.793735e-16	-4.010325e-17
4.300000e+00	3.465510e-14	-1.728589e-02	3.923762e+01	-4.595335e-04	1.783000e-15	5.797830e-17	9.577773e-15	2.087561e-02	3.360084e+01	-6.835749e-04	1.187838e-16	4.036132e-17
4.350000e+00	-2.763352e-14	2.371460e-02	1.663477e+01	-5.570072e-04	1.748419e-18	-5.658273e-17	1.359533e-14	-9.145432e-03	2.187775e+01	3.467737e-04	5.790120e-16	-4.009395e-17
4.400000e+00	3.053786e-14	-9.208220e-03	2.245497e+01	-6.215381e-04	-4.285945e-16	5.927702e-17	-2.102197e-14	1.985627e-02	1.629132e+01	-6.100907e-04	-8.285023e-16	4.099695e-17
4.450000e+00	-3.116226e-14	7.710616e-03	4.038458e+01	-7.763610e-04	3.532447e-16	-1.249316e-17	2.053678e-14	1.256643e-03	4.666206e+01	-6.816263e-05	7.941733e-16	-2.778827e-17
4.500000e+00	2.235660e-14	1.657313e-02	4.249440e+01	6.913736e-04	-5.825643e-17	2.619267e-17	-1.188821e-14	-1.140496e-02	3.919670e+01	4.944409e-04	-4.850699e-16	3.154177e-17
4.550000e+00	-2.774421e-14	-3.042296e-02	2.988487e+01	-1.135847e-03	3.773688e-17	-3.504169e-17	1.427263e-14	2.468858e-02	3.620664e+01	-9.701242e-04	5.815066e-16	-3.273967e-17
4.600000e+00	1.446385e-14	4.093397e-02	3.330754e+01	1.048194e-03	1.605438e-16	5.193569e-17	-5.029202e-15	-2.817315e-02	2.886386e+01	1.126596e-03	-2.294718e-16	3.736650e-17
