TIME	X	Y	Z	ROTX	ROTY	ROTZ	FX	FY	FZ	MX	MY	MZ	FXROT	FYROT	FZROT	MXROT	MYROT	MZROT	dX	dY	dZ	dROTX	dROTY	dROTZ	ddX	ddY	ddZ	ddROTX	ddROTY	ddROTZ
0.000000e+00	2.552000e+00	0.000000e+00	-3.552000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	2.552000e+00	0.000000e+00	-3.552000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.709399e-01	0.000000e+00	1.489590e-04	0.000000e+00	0.000000e+00	0.000000e+00	1.709399e-01	0.000000e+00	1.489590e-04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	0.000000e+00	0.000000e+00	-9.500000e-01	0.000000e+00	-1.570796e+00	0.000000e+00	6.519190e-11	0.000000e+00	3.345139e+01	0.000000e+00	-1.462879e-12	0.000000e+00	3.345139e+01	0.000000e+00	-6.865321e-11	0.000000e+00	-1.462879e-12	0.000000e+00	-2.552000e+00	0.000000e+00	2.602000e+00	0.000000e+00	-2.000000e+00	0.000000e+00	-2.552000e+00	0.000000e+00	2.602000e+00	0.000000e+00	-2.000000e+00	0.000000e+00
3.000000e+00	0.000000e+00	0.000000e+00	-9.500000e-01	0.000000e+00	-1.570796e+00	0.000000e+00	8.753322e-14	0.000000e+00	3.344049e+01	0.000000e+00	-1.427562e-13	0.000000e+00	3.344049e+01	0.000000e+00	-3.547714e-12	0.000000e+00	-1.427562e-13	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	0.000000e+00	0.000000e+00	-9.500000e-01	-2.538077e-02	-1.570647e+00	2.538077e-02	-5.654555e-27	1.776357e-15	-8.526513e-14	1.665769e-16	2.581273e-28	-2.356618e-30	-8.516321e-14	4.530382e-15	1.321700e-26	-8.736213e-30	2.593248e-28	-1.665769e-16	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.050000e+00	0.000000e+00	0.000000e+00	-9.274839e-01	-1.530589e-02	-1.570742e+00	1.530589e-02	2.036826e-18	-2.946114e-10	1.175380e-10	6.188241e-12	-3.705457e-20	1.892180e-20	1.117746e-10	-2.968460e-10	-2.036827e-18	1.819603e-20	-3.741625e-20	-6.188241e-12	0.000000e+00	0.000000e+00	9.006429e-01	5.131245e-01	2.932433e-12	2.108898e-13	0.000000e+00	0.000000e+00	3.002143e+01	1.710415e+01	9.774775e-11	7.029659e-12
4.100000e+00	0.000000e+00	0.000000e+00	-9.288032e-01	-1.092674e-02	-1.570769e+00	1.092674e-02	2.423381e-27	3.802514e-15	1.723066e-13	3.202826e-17	3.866790e-29	-1.525139e-30	1.723428e-13	1.405029e-15	1.750808e-27	-2.047595e-31	3.870723e-29	-3.202826e-17	0.000000e+00	0.000000e+00	-9.534135e-01	-2.900941e-01	-1.361238e-12	-2.457994e-13	0.000000e+00	0.000000e+00	-8.181616e+01	-3.817672e+01	-2.081952e-10	-1.969895e-11
4.150000e+00	0.000000e+00	0.000000e+00	-9.525612e-01	-4.125789e-03	-1.570792e+00	4.125789e-03	-7.446847e-28	2.386980e-15	-4.618528e-14	5.811433e-17	-7.325513e-30	-4.717674e-31	-4.617210e-14	2.629562e-15	3.605970e-28	-1.989151e-32	-7.188980e-30	-5.811433e-17	0.000000e+00	0.000000e+00	3.091942e-03	6.364665e-01	7.341900e-13	2.032113e-13	0.000000e+00	0.000000e+00	8.642762e+01	5.633650e+01	2.083987e-10	3.024165e-11
4.200000e+00	0.000000e+00	0.000000e+00	-9.736080e-01	5.679670e-03	-1.570789e+00	-5.679670e-03	-1.060229e-27	-2.026157e-15	-6.039613e-14	-6.300138e-17	3.277514e-29	5.844477e-31	-6.037990e-14	-2.462860e-15	7.340023e-28	2.566871e-32	3.264023e-29	6.300138e-17	0.000000e+00	0.000000e+00	-8.449615e-01	-1.370719e-01	-8.754001e-13	-2.103819e-13	0.000000e+00	0.000000e+00	-8.588686e+01	-6.334228e+01	-1.922414e-10	-3.619670e-11
4.250000e+00	0.000000e+00	0.000000e+00	-9.696635e-01	9.618263e-03	-1.570775e+00	-9.618263e-03	6.058452e-28	-3.663736e-15	8.526513e-14	-6.661787e-17	-3.809310e-30	3.805111e-31	8.530360e-14	-2.619299e-15	-2.093397e-28	1.164968e-31	-3.827939e-30	6.661787e-17	0.000000e+00	0.000000e+00	1.002740e+00	3.376637e-01	8.693378e-13	2.883334e-13	0.000000e+00	0.000000e+00	1.188480e+02	5.805271e+01	1.862468e-10	4.154997e-11
4.300000e+00	0.000000e+00	0.000000e+00	-9.449034e-01	1.273067e-02	-1.570759e+00	-1.273067e-02	5.869125e-28	-4.440892e-15	1.527667e-13	-6.007181e-17	-1.395709e-29	3.302256e-31	1.528186e-13	-1.964188e-15	-5.753731e-28	5.564059e-31	-1.379402e-29	6.007181e-17	0.000000e+00	0.000000e+00	-1.233654e-02	-1.791494e-01	-1.057363e-12	-1.780297e-13	0.000000e+00	0.000000e+00	-1.130679e+02	-5.592891e+01	-1.883824e-10	-4.408734e-11
4.350000e+00	0.000000e+00	0.000000e+00	-9.255385e-01	1.279593e-02	-1.570758e+00	-1.279593e-02	-2.524355e-29	-3.774758e-15	3.517187e-13	6.854191e-17	-3.767414e-30	4.255535e-32	3.517335e-13	1.955801e-15	-1.892675e-28	5.826880e-32	-4.126111e-30	-6.854191e-17	0.000000e+00	0.000000e+00	7.869316e-01	1.824733e-01	1.029550e-12	2.840021e-13	0.000000e+00	0.000000e+00	1.020209e+02	4.934003e+01	1.952635e-10	4.483656e-11
4.400000e+00	0.000000e+00	0.000000e+00	-9.320684e-01	1.260042e-02	-1.570760e+00	-1.260042e-02	-3.156138e-22	-1.901534e-12	2.955858e-12	4.338579e-14	7.837489e-24	1.338359e-25	2.985983e-12	-1.853870e-12	3.156348e-22	8.180578e-27	7.838301e-24	-4.338579e-14	0.000000e+00	0.000000e+00	-1.048126e+00	-1.924305e-01	-9.098155e-13	-1.901600e-13	0.000000e+00	0.000000e+00	-1.291825e+02	-4.539015e+01	-1.949216e-10	-4.553833e-11
4.450000e+00	0.000000e+00	0.000000e+00	-9.575805e-01	9.329768e-03	-1.570776e+00	-9.329768e-03	7.289075e-28	-2.220446e-16	1.989520e-13	7.611810e-17	-1.343632e-29	-2.086165e-31	1.989406e-13	2.141274e-15	-3.744702e-28	8.621801e-32	-1.378855e-29	-7.611810e-17	0.000000e+00	0.000000e+00	2.764046e-02	2.585653e-02	8.801711e-13	6.935418e-14	0.000000e+00	0.000000e+00	1.219805e+02	3.753633e+01	1.896580e-10	3.836921e-11
4.500000e+00	0.000000e+00	0.000000e+00	-9.750680e-01	1.837807e-03	-1.570796e+00	-1.837807e-03	2.271919e-28	0.000000e+00	3.055334e-13	3.331287e-17	2.150937e-29	7.144401e-32	3.055325e-13	7.149380e-16	8.582807e-28	1.394637e-31	2.160345e-29	-3.331287e-17	0.000000e+00	0.000000e+00	-7.271392e-01	-4.074223e-01	-8.101214e-13	-3.575189e-13	0.000000e+00	0.000000e+00	-1.064797e+02	-3.946685e+01	-1.828486e-10	-3.827666e-11
