TIME	X	Y	Z	ROTX	ROTY	ROTZ	FX	FY	FZ	MX	MY	MZ	FXROT	FYROT	FZROT	MXROT	MYROT	MZROT	dX	dY	dZ	dROTX	dROTY	dROTZ	ddX	ddY	ddZ	ddROTX	ddROTY	ddROTZ
0.000000e+00	1.276000e+00	0.000000e+00	-3.552000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.276000e+00	0.000000e+00	-3.552000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.965299e-01	0.000000e+00	-1.351018e-21	0.000000e+00	0.000000e+00	0.000000e+00	4.965299e-01	0.000000e+00	-1.351018e-21	0.000000e+00	0.000000e+00	0.000000e+00	-4.965299e-07	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.965299e-07	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	0.000000e+00	0.000000e+00	-2.258920e+00	0.000000e+00	-1.570796e+00	0.000000e+00	-2.299435e-12	0.000000e+00	-8.761312e-10	0.000000e+00	-2.557917e-12	0.000000e+00	-8.761312e-10	0.000000e+00	2.299435e-12	0.000000e+00	-2.557917e-12	0.000000e+00	-1.276000e+00	0.000000e+00	1.293080e+00	0.000000e+00	-2.000000e+00	0.000000e+00	-1.276000e+00	0.000000e+00	1.293080e+00	0.000000e+00	-2.000000e+00	0.000000e+00
3.000000e+00	-4.840336e-16	0.000000e+00	-2.258920e+00	0.000000e+00	-1.570796e+00	0.000000e+00	7.131303e-27	0.000000e+00	1.065814e-13	0.000000e+00	-3.196119e-29	0.000000e+00	1.065814e-13	0.000000e+00	-6.705318e-27	0.000000e+00	-3.196119e-29	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	-4.840336e-16	1.224647e-18	-2.258920e+00	0.000000e+00	-1.570796e+00	0.000000e+00	7.131303e-27	2.664535e-14	1.065814e-13	-6.210310e-01	-3.196119e-29	2.373720e-15	1.065814e-13	2.664535e-14	-6.705318e-27	-1.084190e-16	-3.196119e-29	6.210310e-01	0.000000e+00	1.224647e-18	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.224647e-18	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.050000e+00	-4.770628e-16	-1.888516e-04	-2.254002e+00	1.769578e-02	-1.570724e+00	-1.769578e-02	1.502738e-21	3.866907e-13	-1.421085e-13	1.393596e-14	2.547762e-23	-3.352546e-24	-1.507843e-13	3.833909e-13	-1.502738e-21	-3.925625e-24	2.539563e-23	-1.393596e-14	2.788313e-16	-7.554064e-03	1.966976e-01	9.012803e-01	-7.816524e-16	-2.004094e-14	9.294378e-15	-2.518021e-01	6.556585e+00	3.004268e+01	-2.605508e-14	-6.680314e-13
4.100000e+00	-5.082209e-16	-4.545254e-04	-2.242395e+00	1.114951e-02	-1.570768e+00	-1.114951e-02	-5.501188e-23	1.756595e-12	-1.115552e-12	2.672982e-13	-1.050589e-23	-1.471032e-25	-1.140375e-12	1.740582e-12	5.501023e-23	3.057414e-27	-1.050652e-23	-2.672982e-13	-1.525157e-15	-3.072889e-03	2.675720e-01	-1.234684e+00	-4.490398e-15	-2.079908e-14	-6.632920e-14	3.172406e-01	-2.008577e+00	-9.122726e+01	-4.608075e-14	4.115150e-13
4.150000e+00	-7.164173e-16	-1.943118e-04	-2.247313e+00	4.676567e-04	-1.570796e+00	-4.676567e-04	-1.072851e-27	-4.649059e-15	-3.623768e-13	4.000891e-17	4.510939e-29	-9.823235e-34	-3.623740e-13	-4.864831e-15	-6.196570e-29	9.653046e-32	4.518109e-29	-4.000891e-17	-6.802696e-15	1.348143e-02	-4.642919e-01	6.906526e-01	-1.545383e-14	1.001835e-14	-1.316985e-13	3.403170e-01	-2.305641e+01	1.249961e+02	-3.575937e-13	8.012900e-13
4.200000e+00	-1.140957e-15	8.874444e-04	-2.276563e+00	-1.140864e-02	-1.570766e+00	1.140864e-02	-1.246400e-27	-2.414735e-15	5.950795e-14	-1.318465e-16	4.570101e-29	-3.293454e-31	5.946660e-14	-3.278860e-15	1.376057e-27	4.175860e-32	4.556958e-29	1.318465e-16	-1.017889e-14	2.978882e-02	-7.056706e-01	-1.295520e+00	-3.527170e-14	2.107540e-14	-2.474085e-14	3.167015e-01	7.324985e+00	-1.495364e+02	-5.219886e-13	-3.092323e-13
4.250000e+00	-1.902014e-15	3.021380e-03	-2.286896e+00	-2.028795e-02	-1.570701e+00	2.028795e-02	-3.089179e-27	-2.109424e-15	4.263256e-14	3.686405e-18	-3.341967e-29	8.117942e-31	4.256386e-14	-3.209863e-15	3.026226e-27	-5.739229e-32	-3.343512e-29	-3.686405e-18	-2.026341e-14	5.556859e-02	2.923347e-01	8.432911e-01	-1.039430e-13	8.703719e-14	-3.196566e-13	6.481913e-01	2.838352e+01	1.709847e+02	-1.572714e-12	2.894085e-12
